year,month,mp,cbi,lip,lcpi,lsp500,ebp,gs1
2007,8,0.04842957,-0.10096215,462.1971254286171,533.5935835254492,728.2499977110311,0.1218676,4.47
2007,9,-0.18050162,-0.02319761,462.4411871672213,534.016443549993,731.1298541527603,0.0398424,4.14
2007,10,0.05126065,0.0017851,462.14824152003916,534.3242929901029,733.9316891811576,-0.030462,4.1
2007,11,0.0,0.0,462.709506950851,535.1071093983902,728.8510941024914,0.3066972,3.5
2007,12,0.12392659,-0.08668224,462.76789523064724,535.3964917386851,729.9276961100353,0.4698945,3.26
2008,1,-0.10856453,-0.011484,462.6435468572506,535.7406692754025,722.893982348792,0.6908322,2.71
2008,2,0.0,0.0,462.2770389729071,535.9821601391479,721.1460787751763,0.9132534,2.05
2008,3,0.04815471,0.10506241,461.95739518986915,536.3393243284224,718.3066142618919,1.1096019,1.54
2008,4,-0.04922824,-0.02981619,461.26957974053585,536.5704950249732,722.2909025682021,0.6087234,1.74
2008,5,0.0,0.0,460.650529433417,537.1605002317856,724.6524874652033,0.6286956,2.06
2008,6,-0.02852883,-0.02448748,460.3897376309411,538.2028721115022,720.1357293944908,0.7559377,2.42
2008,7,0.0,0.0,459.93472656452985,538.9144786508526,713.6745703968256,1.015761,2.28
2008,8,-0.02586833,-0.00986497,458.34264960481255,538.7655201900232,715.5763135463777,1.201686,2.18
2008,9,0.0898855,0.01488821,453.85772893989315,538.8509928199904,710.4152309880637,1.6958777,1.91
2008,10,0.02774711,-0.10655624,454.85839613578463,537.9874311800346,687.6058192238883,3.2834009,1.42
2008,11,-0.14363467,0.0518334,453.54095198222274,536.2010217707528,678.3370499691191,2.9216802,1.07
2008,12,-0.2178285,-0.02799592,450.67477681914016,535.3742612653447,677.714532907086,3.1195195,0.49
2009,1,0.00652514,-0.01698188,448.1546124706698,535.6270186985713,676.3399802464841,2.677789,0.44
2009,2,0.0,0.0,447.5551130183485,535.9906229217158,669.1127950895724,3.100649,0.62
2009,3,-0.13790031,0.07753383,445.97848117164506,535.8918458675886,662.9534969208644,2.6404651,0.64
2009,4,-0.02872225,0.04549464,445.19059464898214,535.9925034428084,674.3057506941732,2.1697225,0.55
2009,5,0.0,0.0,444.1987506845486,536.139544676073,680.5068962242677,1.2888733,0.5
2009,6,0.05963358,-0.02140785,443.8815674748183,536.9660806616172,683.1003815882998,0.8601515,0.51
2009,7,0.0,0.0,445.06812823029253,536.9362796761015,684.1423150291789,0.2547729,0.48
2009,8,0.00872141,-0.02277775,446.17535232510477,537.2705656551896,691.7428343677824,0.0162975,0.46
2009,9,-0.07518751,-0.0121999,447.029045619399,537.4634682018732,695.1341449645058,-0.006842,0.4
2009,10,0.0,0.0,447.25629376392453,537.7632117017317,697.3224616775441,-0.184128,0.37
2009,11,-0.017505,-0.00723364,447.66411179920607,538.0975113562248,699.2160763581567,-0.048367,0.31
2009,12,0.00391996,-0.0022886,448.00649080265407,538.1495154717046,701.2457578062954,-0.546991,0.37
2010,1,0.00803342,0.01953791,449.07655620666736,538.2143676592892,702.4275295142868,-0.221552,0.35
2010,2,0.0,0.0,449.4290020608092,538.1191446716147,699.3162035924006,-0.023908,0.35
2010,3,-0.02930071,-0.00630006,450.13152031134894,538.1522759962044,704.9298243091741,-0.191288,0.4
2010,4,-0.01327984,0.00661474,450.49155022465976,538.175277403992,708.7841004834515,-0.311415,0.45
2010,5,0.0,0.0,451.853764632145,538.1232866875345,702.5591646549682,-0.181334,0.37
2010,6,-0.01878669,0.02254659,452.07369373132434,538.0813983997616,698.7822601737334,-0.001483,0.32
2010,7,0.0,0.0,452.45553980411694,538.2681492658975,698.4531117784186,0.1544255,0.29
2010,8,-0.04945406,0.03162549,452.8220024792776,538.4141789386214,699.1434443647091,-0.328558,0.26
2010,9,-0.03816486,0.03255994,453.10208283626184,538.5755735696871,702.29393847886,-0.029076,0.26
2010,10,0.0,0.0,452.83247781661737,538.9231534398666,706.6108544135288,0.0035441,0.23
2010,11,0.01701005,-0.01885573,452.90296881142444,539.17621712579,708.9151407699591,-0.147123,0.25
2010,12,-0.003088,-0.00155701,453.8940635866606,539.5770702696749,712.4099768973628,-0.445436,0.29
2011,1,0.00081484,-0.00873928,453.67724944892433,539.9008497577555,715.6660139919245,-0.007035,0.27
2011,2,0.0,0.0,453.26478790794124,540.221781682898,718.6235140669118,-0.288222,0.29
2011,3,-0.01291938,0.0196771,454.2958555539365,540.7378028214637,717.3567438775075,-0.335299,0.26
2011,4,-0.0155853,0.00528864,453.9640240218161,541.2061144263693,719.4068915552484,-0.277728,0.25
2011,5,0.0,0.0,454.08695032313966,541.5237808054812,719.9162902940593,-0.143332,0.19
2011,6,-0.00465258,0.00803144,454.38191128697935,541.5237808054812,716.0294512438414,-0.017902,0.18
2011,7,0.0,0.0,454.85553890675686,541.7854418573477,718.9303578250278,-0.061644,0.19
2011,8,0.03914334,-0.06545038,455.4901629535128,542.1003915862387,707.7759622732563,-0.112879,0.11
2011,9,0.06324882,-0.0093096,455.4133700727517,542.3173109318271,706.8069780513002,0.3894215,0.1
2011,10,0.0,0.0,456.1104394375429,542.3848088995246,709.6075474579492,-0.144877,0.11
2011,11,0.01309282,-0.00358251,456.09862966269344,542.5694233875741,711.1846481470872,0.4682365,0.11
2011,12,0.05302021,-0.04366954,456.6230793260508,542.5931914117709,712.554050005166,0.2333385,0.12
2012,1,-0.02703071,0.00909242,457.22285183039196,542.8652406274972,717.0565597798748,0.1504504,0.12
2012,2,0.0,0.0,457.5393219950557,543.0787571311839,720.9702616977961,0.0267935,0.16
2012,3,0.00267693,0.00534694,457.01738973755,543.2878853443237,723.6512114005637,-0.388765,0.19
2012,4,0.00098889,-0.00098889,457.72952652220374,543.4538264209313,723.4487376943969,-0.202156,0.18
2012,5,0.0,0.0,457.94369070923295,543.246794243903,720.1372205296921,-0.139563,0.19
2012,6,0.00973081,0.00647462,457.96144009715647,543.1641237641455,718.8019910106055,0.1220535,0.19
2012,7,0.0,0.0,458.1608783338431,543.1930005871957,721.5078200938894,-0.05137,0.19
2012,8,0.01626822,-0.00360493,457.7525570521517,543.7722723615079,724.6681644620929,-0.237755,0.18
